schemaname,tablename,indexname,indexdef
public,crm_lead_scoring_frequency,crm_lead_scoring_frequency__variable_index,CREATE INDEX crm_lead_scoring_frequency__variable_index ON public.crm_lead_scoring_frequency USING btree (variable)
public,crm_lead_scoring_frequency,crm_lead_scoring_frequency_pkey,CREATE UNIQUE INDEX crm_lead_scoring_frequency_pkey ON public.crm_lead_scoring_frequency USING btree (id)
public,crm_lead_scoring_frequency_field,crm_lead_scoring_frequency_field_pkey,CREATE UNIQUE INDEX crm_lead_scoring_frequency_field_pkey ON public.crm_lead_scoring_frequency_field USING btree (id)
public,crm_lost_reason,crm_lost_reason_pkey,CREATE UNIQUE INDEX crm_lost_reason_pkey ON public.crm_lost_reason USING btree (id)
public,crm_merge_opportunity,crm_merge_opportunity_pkey,CREATE UNIQUE INDEX crm_merge_opportunity_pkey ON public.crm_merge_opportunity USING btree (id)
public,crm_recurring_plan,crm_recurring_plan_pkey,CREATE UNIQUE INDEX crm_recurring_plan_pkey ON public.crm_recurring_plan USING btree (id)
public,crm_stage,crm_stage_pkey,CREATE UNIQUE INDEX crm_stage_pkey ON public.crm_stage USING btree (id)
public,crm_stage_crm_team_rel,crm_stage_crm_team_rel_crm_team_id_crm_stage_id_idx,"CREATE INDEX crm_stage_crm_team_rel_crm_team_id_crm_stage_id_idx ON public.crm_stage_crm_team_rel USING btree (crm_team_id, crm_stage_id)"
public,crm_stage_crm_team_rel,crm_stage_crm_team_rel_pkey,"CREATE UNIQUE INDEX crm_stage_crm_team_rel_pkey ON public.crm_stage_crm_team_rel USING btree (crm_stage_id, crm_team_id)"
public,crm_tag,crm_tag_name_uniq,CREATE UNIQUE INDEX crm_tag_name_uniq ON public.crm_tag USING btree (name)
public,crm_tag,crm_tag_pkey,CREATE UNIQUE INDEX crm_tag_pkey ON public.crm_tag USING btree (id)
public,crm_tag_rel,crm_tag_rel_pkey,"CREATE UNIQUE INDEX crm_tag_rel_pkey ON public.crm_tag_rel USING btree (lead_id, tag_id)"
public,crm_tag_rel,crm_tag_rel_tag_id_lead_id_idx,"CREATE INDEX crm_tag_rel_tag_id_lead_id_idx ON public.crm_tag_rel USING btree (tag_id, lead_id)"
public,crm_team,crm_team__company_id_index,CREATE INDEX crm_team__company_id_index ON public.crm_team USING btree (company_id)
public,crm_team,crm_team_pkey,CREATE UNIQUE INDEX crm_team_pkey ON public.crm_team USING btree (id)
public,crm_team_member,crm_team_member__crm_team_id_index,CREATE INDEX crm_team_member__crm_team_id_index ON public.crm_team_member USING btree (crm_team_id)
public,crm_team_member,crm_team_member__user_id_index,CREATE INDEX crm_team_member__user_id_index ON public.crm_team_member USING btree (user_id)
public,crm_team_member,crm_team_member_pkey,CREATE UNIQUE INDEX crm_team_member_pkey ON public.crm_team_member USING btree (id)
public,decimal_precision,decimal_precision_name_uniq,CREATE UNIQUE INDEX decimal_precision_name_uniq ON public.decimal_precision USING btree (name)
public,decimal_precision,decimal_precision_pkey,CREATE UNIQUE INDEX decimal_precision_pkey ON public.decimal_precision USING btree (id)
public,digest_digest,digest_digest_pkey,CREATE UNIQUE INDEX digest_digest_pkey ON public.digest_digest USING btree (id)
public,digest_digest_res_users_rel,digest_digest_res_users_rel_pkey,"CREATE UNIQUE INDEX digest_digest_res_users_rel_pkey ON public.digest_digest_res_users_rel USING btree (digest_digest_id, res_users_id)"
public,digest_digest_res_users_rel,digest_digest_res_users_rel_res_users_id_digest_digest_id_idx,"CREATE INDEX digest_digest_res_users_rel_res_users_id_digest_digest_id_idx ON public.digest_digest_res_users_rel USING btree (res_users_id, digest_digest_id)"
public,digest_tip,digest_tip_pkey,CREATE UNIQUE INDEX digest_tip_pkey ON public.digest_tip USING btree (id)
public,digest_tip_res_users_rel,digest_tip_res_users_rel_pkey,"CREATE UNIQUE INDEX digest_tip_res_users_rel_pkey ON public.digest_tip_res_users_rel USING btree (digest_tip_id, res_users_id)"
public,digest_tip_res_users_rel,digest_tip_res_users_rel_res_users_id_digest_tip_id_idx,"CREATE INDEX digest_tip_res_users_rel_res_users_id_digest_tip_id_idx ON public.digest_tip_res_users_rel USING btree (res_users_id, digest_tip_id)"
public,discuss_call_history,discuss_call_history__channel_id_index,CREATE INDEX discuss_call_history__channel_id_index ON public.discuss_call_history USING btree (channel_id)
public,discuss_call_history,discuss_call_history__start_call_message_id_index,CREATE INDEX discuss_call_history__start_call_message_id_index ON public.discuss_call_history USING btree (start_call_message_id)
public,discuss_call_history,discuss_call_history__start_dt_index,CREATE INDEX discuss_call_history__start_dt_index ON public.discuss_call_history USING btree (start_dt)
public,discuss_call_history,discuss_call_history_channel_id_end_dt_idx,"CREATE INDEX discuss_call_history_channel_id_end_dt_idx ON public.discuss_call_history USING btree (channel_id, end_dt) WHERE (end_dt IS NULL)"
public,discuss_call_history,discuss_call_history_message_id_unique_constraint,CREATE UNIQUE INDEX discuss_call_history_message_id_unique_constraint ON public.discuss_call_history USING btree (start_call_message_id)
public,discuss_call_history,discuss_call_history_pkey,CREATE UNIQUE INDEX discuss_call_history_pkey ON public.discuss_call_history USING btree (id)
public,discuss_channel,discuss_channel__last_interest_dt_index,CREATE INDEX discuss_channel__last_interest_dt_index ON public.discuss_channel USING btree (last_interest_dt)
